nm_mes;nm_dia;nm_marca;nm_tipo_trecho;nm_sexo;nm_status_marital;nr_idade;fl_culpa_terceiros;nm_categoria_veiculo;nm_preco_veiculo;fl_fraude;nr_apolice;nm_cat_motorista;nr_outros_sinistros;nr_idade_veiculo;fl_testemunhas;nr_carros_envolvidos;nr_ano;nm_tipo_apolice
Agosto;Sábado;Chevrolet;Rural;Homem;Casado;49;0;Esportivo;> 150K;0;5679;Cuidadoso;nenhum;> 15 anos;0;1 carro;2021;Apenas Terceiro
Dezembro;Sábado;Chevrolet;Urbano;Homem;Casado;49;0;Esportivo;> 150K;0;13632;Imprudente;1;> 15 anos;0;1 carro;2023;Apenas Terceiro
Fevereiro;Terça;Chevrolet;Urbano;Homem;Solteiro;49;1;Utilitário;> 150K;0;12476;Imprudente;mais do que 4;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Janeiro;Quinta;Chevrolet;Rural;Homem;Casado;50;0;Esportivo;> 150K;0;7033;Imprudente;mais do que 4;11 até 15 anos;0;1 carro;2022;Apenas Terceiro
Junho;Sexta;Chevrolet;Urbano;Homem;Casado;50;1;Sedan;> 150K;0;14568;Imprudente;nenhum;> 15 anos;0;1 carro;2023;Apenas Casco
Janeiro;Quinta;Chevrolet;Urbano;Homem;Solteiro;51;0;Utilitário;90K até 150K;0;10113;Imprudente;mais do que 4;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Agosto;Quinta;Chevrolet;Urbano;Homem;Casado;51;0;Sedan;90K até 150K;0;11727;Imprudente;nenhum;> 15 anos;0;3 até 4 carros;2023;Apenas Casco
Setembro;Sexta;Chevrolet;Urbano;Homem;Casado;53;0;Utilitário;90K até 150K;0;13595;Imprudente;1;> 15 anos;0;1 carro;2023;Segurado + Terceiro
Fevereiro;Quinta;Chevrolet;Urbano;Homem;Casado;54;0;Utilitário;90K até 150K;0;3893;Imprudente;mais do que 4;> 15 anos;0;1 carro;2021;Segurado + Terceiro
Outubro;Segunda;Chevrolet;Urbano;Homem;Casado;61;0;Utilitário;90K até 150K;0;10845;Imprudente;de 2 até 4;> 15 anos;0;1 carro;2022;Segurado + Terceiro
Dezembro;Quinta;Chevrolet;Urbano;Homem;Casado;61;1;Esportivo;90K até 150K;0;3146;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Fevereiro;Quarta;Chevrolet;Urbano;Homem;Casado;63;0;Sedan;90K até 150K;0;13782;Imprudente;nenhum;> 15 anos;0;1 carro;2023;Segurado + Terceiro
Março;Segunda;Chevrolet;Urbano;Homem;Casado;63;0;Esportivo;90K até 150K;0;7131;Imprudente;mais do que 4;> 15 anos;0;1 carro;2022;Apenas Terceiro
Julho;Terça;Chevrolet;Urbano;Mulher;Casado;63;0;Esportivo;90K até 150K;0;8283;Imprudente;mais do que 4;> 15 anos;0;3 até 4 carros;2022;Apenas Terceiro
Março;Sexta;Chevrolet;Urbano;Homem;Casado;64;0;Utilitário;90K até 150K;1;11034;Imprudente;de 2 até 4;> 15 anos;0;1 carro;2022;Apenas Casco
Outubro;Quarta;Chevrolet;Urbano;Homem;Casado;65;0;Esportivo;90K até 150K;0;230;Imprudente;mais do que 4;11 até 15 anos;0;1 carro;2021;Apenas Terceiro
